,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force,time,time,time,time,time,time,time,time,time,force,force,force,force,force,force,force,force,force
,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_y,XSy,Sy,My,Ly,Toe_y,Heel_y,Ascending_y,Descending_y,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a,Natural_a,XSa,Sa,Ma,La,Toe_a,Heel_a,Ascending_a,Descending_a
33,0.3344,0.4424,0.3820,0.3225,0.2807,0.3476,0.3091,0.5097,0.4245,438.3653,513.4524,482.8958,437.2579,352.7752,419.7062,512.6968,439.4949,457.8436,0.3743,0.4724,0.3733,0.3325,0.2906,0.3724,0.3464,0.5673,0.4690,679.7719,766.5774,700.9439,607.0516,477.5708,632.5565,786.8308,681.4032,685.2591
34,0.3442,0.4554,0.3933,0.3320,0.2889,0.3578,0.3182,0.5247,0.4369,446.4214,516.6703,487.8081,445.6440,371.0494,424.6593,515.5406,435.4889,454.1280,0.3853,0.4863,0.3843,0.3423,0.2991,0.3834,0.3565,0.5840,0.4828,690.2718,770.2634,710.4608,625.1811,505.9310,639.7054,789.7827,681.2861,688.2175
35,0.3540,0.4684,0.4045,0.3415,0.2972,0.3681,0.3273,0.5397,0.4494,456.2305,519.9063,493.6790,455.8698,392.5690,432.0886,518.7756,433.4736,451.5019,0.3963,0.5002,0.3952,0.3521,0.3077,0.3943,0.3667,0.6007,0.4966,702.8947,774.1999,721.7747,647.2063,540.3339,650.6004,792.0723,683.7936,692.7471
36,0.3639,0.4814,0.4157,0.3510,0.3054,0.3783,0.3364,0.5547,0.4619,468.0460,523.3279,500.6252,467.9434,417.1591,441.8454,522.4496,433.4829,450.0849,0.4073,0.5141,0.4062,0.3619,0.3162,0.4053,0.3769,0.6174,0.5104,717.6370,778.4415,734.9662,672.6464,580.4069,665.0731,793.8844,688.6054,698.2735
37,0.3737,0.4944,0.4270,0.3605,0.3137,0.3885,0.3455,0.5697,0.4744,482.0514,527.3253,508.8389,481.7989,444.6367,453.8072,526.2747,435.4071,449.8346,0.4183,0.5280,0.4172,0.3717,0.3248,0.4163,0.3871,0.6341,0.5242,734.6522,783.1761,750.2280,701.1115,625.6116,682.7546,795.6181,695.3126,704.5140
38,0.3835,0.5074,0.4382,0.3700,0.3219,0.3987,0.3546,0.5847,0.4869,498.1268,532.1227,518.5061,497.2423,474.4873,467.9673,529.9458,439.2241,450.5059,0.4293,0.5419,0.4282,0.3814,0.3333,0.4272,0.3973,0.6508,0.5380,754.0000,788.5877,767.5786,732.1155,674.9956,703.2649,797.8082,703.4981,711.0885
39,0.3934,0.5204,0.4495,0.3794,0.3302,0.4090,0.3637,0.5997,0.4994,515.9831,537.9308,529.6394,513.9686,505.9642,484.4791,533.2048,444.8267,451.8371,0.4403,0.5558,0.4392,0.3912,0.3419,0.4382,0.4075,0.6675,0.5518,775.6092,794.7182,786.8635,765.0867,727.4460,726.3833,800.8775,712.9082,717.4425
40,0.4032,0.5334,0.4607,0.3889,0.3385,0.4192,0.3728,0.6147,0.5118,535.2317,544.9650,542.1632,531.6443,538.2403,503.0556,535.7647,451.8124,453.7584,0.4513,0.5696,0.4501,0.4010,0.3504,0.4491,0.4177,0.6841,0.5656,799.1220,801.6103,807.7441,799.0592,781.1935,751.6983,804.8243,723.2760,723.3428
41,0.4130,0.5464,0.4719,0.3984,0.3467,0.4294,0.3819,0.6296,0.5243,555.3498,553.2203,555.9083,549.8592,570.2862,522.7991,537.2387,460.0859,456.2749,0.4623,0.5835,0.4611,0.4108,0.3590,0.4601,0.4278,0.7008,0.5794,823.7877,809.3320,829.6179,832.6341,833.7476,778.5569,809.4395,734.2308,729.2312
42,0.4229,0.5594,0.4832,0.4079,0.3550,0.4396,0.3910,0.6446,0.5368,575.6781,562.4902,570.3739,568.0656,600.8556,542.8293,537.1438,470.1187,459.1877,0.4733,0.5974,0.4721,0.4206,0.3675,0.4710,0.4380,0.7175,0.5932,848.6862,817.8599,851.7382,864.3375,882.0912,806.1228,814.1383,745.5662,735.6480
43,0.4327,0.5725,0.4944,0.4174,0.3632,0.4499,0.4001,0.6596,0.5493,595.3965,572.2671,584.8331,585.6106,628.5634,562.2820,535.0659,482.1888,462.1791,0.4843,0.6113,0.4831,0.4303,0.3760,0.4820,0.4482,0.7342,0.6070,872.8280,826.9517,873.3430,892.7423,923.3638,833.2773,817.4483,757.2745,742.5796
44,0.4425,0.5855,0.5056,0.4269,0.3715,0.4601,0.4091,0.6746,0.5618,613.5077,581.6172,598.5119,601.6202,651.9687,580.1246,530.9206,495.9732,465.1151,0.4953,0.6252,0.4941,0.4401,0.3846,0.4929,0.4584,0.7509,0.6208,895.1857,836.2735,893.5262,916.6949,955.4104,858.7641,817.6020,769.0832,749.8979
45,0.4524,0.5985,0.5169,0.4364,0.3797,0.4703,0.4182,0.6896,0.5743,628.8109,589.5528,610.4865,614.9297,669.6325,595.3084,524.7863,510.9627,468.1532,0.5063,0.6391,0.5050,0.4499,0.3931,0.5039,0.4686,0.7676,0.6346,914.5852,845.4981,911.0897,935.2752,976.5237,881.3244,813.4227,780.5622,757.5683
46,0.4622,0.6115,0.5281,0.4458,0.3880,0.4805,0.4273,0.7046,0.5867,640.0446,595.3032,619.6775,624.4489,680.1757,606.8065,516.3901,526.8325,471.3221,0.5173,0.6530,0.5160,0.4597,0.4017,0.5148,0.4788,0.7843,0.6483,929.7723,854.1501,924.6998,947.5996,985.1768,899.5851,804.4061,791.5942,765.2309
47,0.4720,0.6245,0.5393,0.4553,0.3962,0.4908,0.4364,0.7196,0.5992,646.0649,598.0392,625.0136,629.3144,682.4318,613.5128,504.9967,543.2897,474.1332,0.5284,0.6669,0.5270,0.4695,0.4102,0.5258,0.4890,0.8010,0.6621,939.5361,861.5984,933.0880,952.7281,979.8009,911.7930,789.7912,802.3663,772.0785
48,0.4819,0.6375,0.5506,0.4648,0.4045,0.5010,0.4455,0.7346,0.6117,645.8456,596.9915,625.4695,628.7181,675.5839,614.2817,489.3142,559.9405,476.0945,0.5394,0.6808,0.5380,0.4792,0.4188,0.5368,0.4992,0.8176,0.6759,942.6657,867.1187,935.1494,949.5966,958.7058,915.8953,768.1074,813.0497,777.1364
49,0.4917,0.6505,0.5618,0.4743,0.4128,0.5112,0.4546,0.7496,0.6242,638.5070,591.6124,620.1177,621.8034,659.0379,608.1082,467.0905,576.0068,476.9688,0.5504,0.6947,0.5489,0.4890,0.4273,0.5477,0.5093,0.8343,0.6897,937.9775,869.7550,929.8014,937.1945,919.8408,909.7786,737.9772,823.4588,779.7285
50,0.5015,0.6635,0.5731,0.4838,0.4210,0.5214,0.4637,0.7646,0.6367,623.3153,581.3413,608.1498,607.6098,632.2543,593.9713,435.7396,590.2127,476.4437,0.5614,0.7086,0.5599,0.4988,0.4359,0.5587,0.5195,0.8510,0.7035,924.3608,868.5152,915.9701,914.4540,861.4710,891.1415,697.5547,833.2228,779.4854
51,0.5114,0.6765,0.5843,0.4933,0.4293,0.5317,0.4728,0.7796,0.6492,599.3730,565.1920,588.5882,585.0675,594.4992,570.6823,395.3797,601.2119,474.1944,0.5724,0.7225,0.5709,0.5086,0.4444,0.5696,0.5297,0.8677,0.7173,900.4602,862.3302,892.4612,879.6166,782.5296,857.6857,643.7964,842.3341,775.7894
